county,2016,2017,2018,2019,2020,2021
"Henry County, Indiana",38658,38534,38466,38378,38195,38686
"Howard County, Indiana",63783,63591,63697,63681,63737,64154
"Huntington County, Indiana",28547,28469,28460,28528,28536,28639
"Jackson County, Indiana",32973,33045,33124,33244,33395,34581
"Jasper County, Indiana",25287,25371,25465,25569,25686,25320
"Jay County, Indiana",15690,15661,15554,15561,15513,15391
"Jefferson County, Indiana",25512,25608,25519,25567,25585,26234
"Jennings County, Indiana",21213,21182,21218,21292,21187,21182
"Johnson County, Indiana",110092,111609,113547,115437,117506,120255
"Knox County, Indiana",29909,29762,29327,29120,28951,28480
"Kosciusko County, Indiana",59224,59480,59638,59962,60205,60928
"LaGrange County, Indiana",25508,25885,26122,26349,26643,27003
"Lake County, Indiana",369695,370543,370509,370770,371697,378947
"LaPorte County, Indiana",86517,86587,86517,86374,86360,87971
"Lawrence County, Indiana",35457,35527,35509,35559,35644,35284
"Madison County, Indiana",101099,101034,101086,101226,101448,101804
"Marion County, Indiana",699777,706826,710455,716549,721072,728632
"Marshall County, Indiana",34887,34900,34845,34682,34649,34570
"Martin County, Indiana",7899,7889,7914,7936,7912,7646
"Miami County, Indiana",28189,28187,28180,28138,28121,28447
"Monroe County, Indiana",120424,121369,122382,123349,124126,118071
"Montgomery County, Indiana",29289,29472,29532,29602,29712,29285
"Morgan County, Indiana",53069,53290,53623,53931,54294,55122
"Newton County, Indiana",10927,10972,10978,10997,10981,10889
"Noble County, Indiana",35372,35333,35443,35518,35867,35690
"Ohio County, Indiana",4774,4760,4755,4745,4761,4767
"Orange County, Indiana",14888,14993,15014,15039,15106,15244
"Owen County, Indiana",16511,16428,16414,16419,16499,16741
"Parke County, Indiana",13400,13401,13325,13308,13156,12767
"Perry County, Indiana",15242,15143,15021,15019,15067,15108
"Pike County, Indiana",9703,9677,9612,9547,9675,9621
"Porter County, Indiana",128685,129403,130247,131131,132112,134349
"Posey County, Indiana",19743,19883,19897,19840,19852,19644
"Pulaski County, Indiana",9914,9849,9764,9688,9725,9751
"Putnam County, Indiana",30375,30190,30317,30096,30207,29558
"Randolph County, Indiana",19366,19280,19242,19187,19065,18937
"Ripley County, Indiana",21765,21562,21672,21643,21680,22030
"Rush County, Indiana",12974,12913,12915,12873,12937,12861
"St. Joseph County, Indiana",203250,204349,205044,206185,207015,207594
"Scott County, Indiana",18299,18223,18279,18441,18536,18761
"Shelby County, Indiana",34063,34087,34229,34304,34381,34529
"Spencer County, Indiana",16053,15977,15946,15921,15936,15589
"Starke County, Indiana",17736,17584,17557,17545,17561,17781
"Steuben County, Indiana",27020,27252,27296,27384,27534,27281
"Sullivan County, Indiana",16675,16677,16609,16653,16630,16546
"Switzerland County, Indiana",7869,7938,7945,7999,8071,7442
"Tippecanoe County, Indiana",145408,147526,150304,152093,153693,147623
"Tipton County, Indiana",12101,12045,12087,12008,11978,12105
"Union County, Indiana",5567,5549,5591,5592,5646,5612
"Vanderburgh County, Indiana",141905,142189,141952,141945,142300,140574
"Vermillion County, Indiana",12235,12162,12150,12107,12103,12054
"Vigo County, Indiana",85614,85432,85478,85414,85415,84607
"Wabash County, Indiana",25219,25065,24970,24882,24757,24646
"Warren County, Indiana",6514,6453,6434,6424,6451,6579
"Warrick County, Indiana",46318,46475,46929,47330,47668,48351
"Washington County, Indiana",21198,21277,21418,21478,21543,21557
"Wayne County, Indiana",52436,52121,51877,51666,51560,51734
"Wells County, Indiana",21001,20958,20990,21107,21055,21138
"White County, Indiana",18593,18600,18532,18499,18527,18836
"Whitley County, Indiana",25560,25677,25830,25932,26091,26164
"Adair County, Iowa",5753,5643,5581,5566,5541,5776
"Adams County, Iowa",3023,2998,2948,2903,2886,2903
"Allamakee County, Iowa",10868,10766,10705,10619,10579,10717
"Appanoose County, Iowa",9821,9795,9758,9719,9679,9494
"Audubon County, Iowa",4605,4556,4540,4425,4380,4398
"Benton County, Iowa",19382,19480,19560,19584,19587,19638
"Black Hawk County, Iowa",104180,104196,104151,103708,103251,102553
"Boone County, Iowa",20512,20381,20593,20646,20716,20941
"Bremer County, Iowa",19233,19281,19303,19326,19421,19162
"Buchanan County, Iowa",15420,15457,15429,15469,15516,15168
"Buena Vista County, Iowa",15257,15157,15113,14864,14790,15293
"Butler County, Iowa",11485,11411,11354,11220,11233,11098
"Calhoun County, Iowa",7830,7759,7759,7681,7598,7726
"Carroll County, Iowa",15587,15408,15381,15313,15429,15775
"Cass County, Iowa",10438,10358,10290,10185,10138,10160
"Cedar County, Iowa",14128,14192,14233,14202,14360,14402
"Cerro Gordo County, Iowa",34294,34202,34113,34021,33836,34099
"Cherokee County, Iowa",9279,9110,9015,8906,8843,8977
"Chickasaw County, Iowa",9284,9283,9301,9274,9199,9149
"Clarke County, Iowa",7036,7036,6948,7059,7057,7190
"Clay County, Iowa",12719,12634,12620,12550,12509,12563
"Clayton County, Iowa",13823,13844,13859,13867,13819,13442
"Clinton County, Iowa",36930,36672,36444,36220,36197,35944
"Crawford County, Iowa",12701,12833,12878,12806,12795,12345
"Dallas County, Iowa",55825,57882,60309,62763,65445,70059
"Davis County, Iowa",6200,6258,6284,6299,6347,6375
"Decatur County, Iowa",6453,6379,6288,6244,6196,6034
"Delaware County, Iowa",13253,13166,13142,13063,13049,13298
"Des Moines County, Iowa",30928,30768,30588,30457,30341,30161
"Dickinson County, Iowa",13739,13742,13839,13891,13983,14113
"Dubuque County, Iowa",74098,74235,74490,74779,75027,76069
"Emmet County, Iowa",7703,7574,7554,7479,7397,7498
"Fayette County, Iowa",16035,15863,15754,15654,15433,15399
"Floyd County, Iowa",12377,12313,12262,12224,12172,12081
"Franklin County, Iowa",7980,7947,7861,7819,7754,7697
"Fremont County, Iowa",5473,5437,5435,5434,5424,5174
"Greene County, Iowa",7001,7031,6929,6908,6940,6834
"Grundy County, Iowa",9457,9439,9455,9464,9447,9433
"Guthrie County, Iowa",8282,8270,8251,8238,8280,8243
"Hamilton County, Iowa",11689,11725,11639,11564,11541,11609
"Hancock County, Iowa",8495,8507,8468,8414,8394,8470
"Hardin County, Iowa",13495,13481,13479,13479,13321,13619
"Harrison County, Iowa",11085,10960,10901,10851,10863,11166
"Henry County, Iowa",15471,15440,15534,15581,15579,16055
"Howard County, Iowa",7070,7004,6943,6887,6907,7038
"Humboldt County, Iowa",7363,7344,7344,7327,7271,7314
"Ida County, Iowa",5395,5337,5302,5282,5206,5246
"Iowa County, Iowa",12514,12419,12452,12469,12453,12745
"Jackson County, Iowa",15174,15086,15071,15089,15065,15175
"Jasper County, Iowa",28569,28587,28585,28696,28794,29244
"Jefferson County, Iowa",14215,14482,14766,15281,14574,12640
"Johnson County, Iowa",113409,115187,117390,118758,120765,121459
"Jones County, Iowa",16040,16021,16125,16168,16187,16182
"Keokuk County, Iowa",7884,7919,7888,7866,7844,7728
"Kossuth County, Iowa",11848,11846,11808,11685,11659,11526
"Lee County, Iowa",27564,27261,27064,26779,26607,26423
"Linn County, Iowa",165986,167857,169628,171251,173111,175272
"Louisa County, Iowa",8581,8630,8648,8650,8617,8425
"Lucas County, Iowa",6733,6618,6574,6595,6604,6686
"Lyon County, Iowa",8427,8426,8430,8446,8470,8561
"Madison County, Iowa",11590,11646,11826,12049,12164,12235
"Mahaska County, Iowa",17058,16945,16884,16848,17028,16816
"Marion County, Iowa",25190,25186,25275,25428,25476,25552
"Marshall County, Iowa",30550,30305,30160,29900,29778,29880
"Mills County, Iowa",11291,11379,11394,11437,11519,11201
"Mitchell County, Iowa",8138,8089,8114,8124,8092,7989
"Monona County, Iowa",7216,7088,7006,6944,6867,6782
"Monroe County, Iowa",6049,5984,5893,5967,5950,5736
"Montgomery County, Iowa",8063,7890,7791,7752,7694,7812
"Muscatine County, Iowa",32037,32071,32162,32189,32073,32408
"O'Brien County, Iowa",10783,10690,10634,10556,10542,10734
"Osceola County, Iowa",4742,4703,4675,4636,4603,4706
"Page County, Iowa",12266,12275,12275,12223,12245,12209
"Palo Alto County, Iowa",7087,7069,7024,6873,6872,6865
"Plymouth County, Iowa",18698,18720,18735,18810,18889,19102
"Pocahontas County, Iowa",5479,5439,5402,5332,5264,5487
"Polk County, Iowa",343033,349675,355177,359784,364708,367044
"Pottawattamie County, Iowa",71127,71165,71354,71402,71612,71387
"Poweshiek County, Iowa",14862,14796,14979,14792,14803,14895
"Ringgold County, Iowa",3837,3811,3791,3766,3722,3590
"Sac County, Iowa",7795,7729,7685,7614,7547,7636
"Scott County, Iowa",129947,130282,131021,131299,131855,132618
"Shelby County, Iowa",9246,9116,9050,9019,9010,9164
"Sioux County, Iowa",25258,25268,25377,25395,25431,25888
"Story County, Iowa",78634,79694,80705,80837,81291,81790
"Tama County, Iowa",13206,13064,12986,12936,12810,12925
"Taylor County, Iowa",4754,4767,4753,4732,4730,4544
"Union County, Iowa",9632,9637,9652,9583,9544,9432
"Van Buren County, Iowa",5652,5549,5490,5481,5467,5525
"Wapello County, Iowa",27335,27351,27373,27154,27130,27122
"Warren County, Iowa",36029,36449,37042,37653,38333,39004
"Washington County, Iowa",16641,16593,16627,16634,16630,16909
"Wayne County, Iowa",4856,4831,4812,4811,4788,4820
"Webster County, Iowa",29080,28984,28908,28777,28639,29147
"Winnebago County, Iowa",8305,8293,8274,8248,8193,8361
"Winneshiek County, Iowa",16886,16720,16643,16512,16385,16360
"Woodbury County, Iowa",75498,75519,75544,75741,75920,77611
"Worth County, Iowa",5938,5859,5881,5884,5902,5908
"Wright County, Iowa",9888,9874,9737,9682,9592,9757
"Allen County, Kansas",9956,9786,9755,9721,9701,9751
"Anderson County, Kansas",5886,5878,5781,5798,5849,5799
"Atchison County, Kansas",12677,12576,12502,12452,12429,12535
"Barber County, Kansas",3723,3730,3612,3521,3376,3166
"Barton County, Kansas",20577,20540,20357,20172,19989,19560
"Bourbon County, Kansas",11032,10989,10921,10864,10848,10701
"Brown County, Kansas",7352,7241,7202,7199,7127,7059
"Butler County, Kansas",49044,49076,49324,49568,49836,50186
"Chase County, Kansas",2087,2053,2028,2034,2042,2039
"Chautauqua County, Kansas",2761,2696,2661,2583,2598,2618
"Cherokee County, Kansas",15728,15556,15487,15399,15263,14961
"Cheyenne County, Kansas",2089,2092,2104,2097,2083,2088
"Clark County, Kansas",1603,1579,1547,1525,1537,1513
"Clay County, Kansas",6291,6228,6169,6140,6186,6153
"Cloud County, Kansas",7237,7124,6969,6829,6699,6828
"Coffey County, Kansas",6541,6504,6489,6476,6482,6539
"Comanche County, Kansas",1456,1351,1373,1354,1414,1430
"Cowley County, Kansas",27314,27175,27088,26945,26798,26483
"Crawford County, Kansas",30703,30583,30598,30442,30411,30318
"Decatur County, Kansas",2327,2338,2326,2317,2277,2197
"Dickinson County, Kansas",14710,14527,14424,14353,14268,14244
"Doniphan County, Kansas",6202,6216,6247,6220,6149,6063
"Douglas County, Kansas",94354,95540,97081,98067,99174,97088
"Edwards County, Kansas",2293,2254,2239,2215,2183,2219
"Elk County, Kansas",2100,2045,2020,1978,1953,1891
"Ellis County, Kansas",22824,22657,22635,22454,22555,22672
"Ellsworth County, Kansas",5161,5182,5106,5084,5036,5192
"Finney County, Kansas",25424,25543,25535,25473,25384,26724
"Ford County, Kansas",23894,24060,23957,23834,23554,23982
"Franklin County, Kansas",19285,19307,19336,19388,19514,19732
"Geary County, Kansas",25395,24699,24106,23517,22960,25067
"Gove County, Kansas",2083,2062,2060,2076,2033,2061
"Graham County, Kansas",2079,2055,2029,2005,1950,1935
"Grant County, Kansas",5269,5264,5201,5140,5062,5155
"Gray County, Kansas",4254,4242,4296,4266,4264,4011
"Greeley County, Kansas",963,931,889,876,840,894
"Greenwood County, Kansas",4934,4912,4841,4781,4723,4734
"Hamilton County, Kansas",1801,1866,1814,1877,1810,1877
"Harper County, Kansas",4407,4345,4284,4215,4137,4123
"Harvey County, Kansas",26074,26022,26004,26040,26163,25725
"Haskell County, Kansas",2902,2902,2865,2866,2862,2727
"Hodgeman County, Kansas",1501,1468,1451,1469,1473,1448
"Jackson County, Kansas",9974,9929,10005,9950,9937,9931
"Jefferson County, Kansas",14434,14440,14501,14543,14641,14195
"Jewell County, Kansas",2417,2387,2370,2330,2304,2308
"Johnson County, Kansas",427276,433257,439727,445914,452210,458322
"Kearny County, Kansas",2785,2778,2793,2784,2741,2827
"Kingman County, Kansas",5968,5862,5800,5700,5572,5851
"Kiowa County, Kansas",1960,1970,1955,1917,1888,1853
"Labette County, Kansas",15902,15681,15494,15333,15158,15293
"Lane County, Kansas",1293,1295,1242,1177,1169,1178
"Leavenworth County, Kansas",59683,60261,60904,61542,62176,62218
"Lincoln County, Kansas",2403,2416,2392,2357,2300,2255
"Linn County, Kansas",7281,7381,7422,7475,7518,7467
"Logan County, Kansas",2142,2130,2125,2113,2107,2091
"Lyon County, Kansas",25858,25821,25878,25804,25823,25069
"McPherson County, Kansas",22448,22092,22017,22052,22259,23315
"Marion County, Kansas",9576,9495,9428,9382,9351,9346
"Marshall County, Kansas",7652,7536,7494,7409,7391,7550
"Meade County, Kansas",3180,3154,3162,3129,3071,3004
"Miami County, Kansas",24347,24636,24806,25182,25520,25693
"Mitchell County, Kansas",4894,4869,4805,4772,4700,4548
"Montgomery County, Kansas",25785,25576,25150,24801,24521,24129
"Morris County, Kansas",4512,4426,4354,4364,4396,4253
"Morton County, Kansas",2375,2211,2100,2054,2014,2042
"Nemaha County, Kansas",7535,7452,7442,7433,7425,7369
"Neosho County, Kansas",12246,12169,12118,12120,12075,11963
"Ness County, Kansas",2368,2344,2299,2259,2216,2155
"Norton County, Kansas",4520,4485,4434,4389,4389,4367
"Osage County, Kansas",12132,12173,12148,12176,12167,12111
"Osborne County, Kansas",2949,2889,2841,2785,2761,2773
"Ottawa County, Kansas",4550,4517,4514,4488,4477,4447
"Pawnee County, Kansas",5523,5527,5517,5405,5469,5418
"Phillips County, Kansas",4194,4179,4171,4142,4112,3909
"Pottawatomie County, Kansas",16139,16424,16705,16817,17113,17622
"Pratt County, Kansas",7385,7317,7192,7041,6964,6924
"Rawlins County, Kansas",2057,2031,1996,1989,1962,1983
"Reno County, Kansas",49017,48857,48674,48515,48382,48098
"Republic County, Kansas",3824,3803,3765,3688,3611,3637
"Rice County, Kansas",7668,7614,7525,7447,7399,7276
"Riley County, Kansas",61802,62919,62755,62624,61875,60603
"Rooks County, Kansas",3995,3975,3954,3936,3862,3843
"Rush County, Kansas",2500,2477,2441,2362,2321,2239
"Russell County, Kansas",5482,5518,5484,5501,5366,5241
"Saline County, Kansas",42058,42090,42028,41860,41716,41652
"Scott County, Kansas",3766,3750,3621,3603,3554,3699
"Sedgwick County, Kansas",373711,376362,378368,380448,382892,386727
"Seward County, Kansas",15860,15747,15464,15276,15107,15238
"Shawnee County, Kansas",135134,135242,135437,135526,135359,136627
"Sheridan County, Kansas",1935,1903,1894,1912,1908,1834
"Sherman County, Kansas",4598,4571,4541,4535,4522,4524
"Smith County, Kansas",2990,2960,2936,2918,2891,2860
"Stafford County, Kansas",3255,3218,3225,3210,3127,3102
"Stanton County, Kansas",1514,1479,1502,1438,1461,1437
"Stevens County, Kansas",3967,3978,3999,3955,3898,3774
"Sumner County, Kansas",17612,17500,17477,17431,17339,17061
"Thomas County, Kansas",6126,6082,6054,6037,5987,6008
"Trego County, Kansas",2376,2324,2319,2337,2288,2282
"Wabaunsee County, Kansas",5215,5213,5221,5249,5251,5249
"Wallace County, Kansas",1157,1162,1180,1165,1185,1152
"Washington County, Kansas",4327,4290,4266,4261,4276,4278
"Wichita County, Kansas",1538,1571,1596,1595,1607,1648
"Wilson County, Kansas",6823,6744,6674,6603,6572,6607
"Woodson County, Kansas",2507,2502,2499,2471,2515,2546
"Wyandotte County, Kansas",116152,117391,118318,118921,119487,121439
"Adair County, Kentucky",15245,15415,15384,15473,15585,14997
"Allen County, Kentucky",15526,15718,15783,15962,16105,15775
"Anderson County, Kentucky",16574,16697,16840,17061,17222,18030
"Ballard County, Kentucky",6395,6334,6307,6267,6256,6195
"Barren County, Kentucky",33008,33115,33251,33404,33596,33740
"Bath County, Kentucky",9079,9099,9156,9150,9268,9392
"Bell County, Kentucky",21702,21604,21354,21092,20839,19351
"Boone County, Kentucky",91435,93557,94884,96233,97713,99346
"Bourbon County, Kentucky",15410,15456,15563,15523,15506,15661
"Boyd County, Kentucky",38368,38173,37853,37522,37233,37981
"Boyle County, Kentucky",23637,23766,23882,23990,24070,24283
"Bracken County, Kentucky",6352,6271,6248,6316,6330,6357
"Breathitt County, Kentucky",10578,10491,10415,10335,10168,10789
"Breckinridge County, Kentucky",15359,15357,15453,15551,15641,15699
"Bullitt County, Kentucky",59690,60689,61589,62465,63227,63892
"Butler County, Kentucky",9911,9871,9902,9873,9850,9541
"Caldwell County, Kentucky",9847,9895,9871,9867,9842,9773
"Calloway County, Kentucky",31240,31613,31724,31798,31961,30495
"Campbell County, Kentucky",71539,72069,72645,73184,74069,73542
"Carlisle County, Kentucky",3863,3796,3787,3694,3652,3698
"Carroll County, Kentucky",8058,7958,7942,7920,7919,7950
"Carter County, Kentucky",21118,21246,21142,21108,20755,20698
"Casey County, Kentucky",12335,12244,12224,12282,12329,12202
"Christian County, Kentucky",53316,52470,52572,52086,52118,52680
"Clark County, Kentucky",27619,27628,27787,27905,28114,28459
"Clay County, Kentucky",16674,16413,16224,16028,15846,16130
"Clinton County, Kentucky",7734,7887,7836,7864,7972,7355
"Crittenden County, Kentucky",7102,7082,7101,6978,6935,6974
"Cumberland County, Kentucky",5307,5278,5262,5220,5222,4712
"Daviess County, Kentucky",74672,75044,75534,75979,76346,77285
"Edmonson County, Kentucky",9706,9734,9831,9878,9903,9817
"Elliott County, Kentucky",6238,6122,6117,6129,6120,6076
"Estill County, Kentucky",11240,11290,11263,11148,11233,11034
"Fayette County, Kentucky",245584,248638,251730,253550,254886,253885
"Fleming County, Kentucky",10973,10965,10923,10960,10992,11339
"Floyd County, Kentucky",29750,29285,28982,28582,28135,28098
"Franklin County, Kentucky",39472,39446,39743,39959,40113,40525
"Fulton County, Kentucky",5000,4947,4852,4788,4780,5098
"Gallatin County, Kentucky",6339,6488,6550,6583,6629,6584
"Garrard County, Kentucky",13258,13394,13479,13539,13746,13337
"Grant County, Kentucky",17868,18077,18120,18278,18316,18082
"Graves County, Kentucky",28281,28169,28250,28262,28207,27842
"Grayson County, Kentucky",19822,19803,19931,19987,20015,19989
"Green County, Kentucky",8730,8695,8690,8662,8692,8739
"Greenup County, Kentucky",28321,28199,28079,27917,27755,28211
"Hancock County, Kentucky",6551,6491,6478,6519,6612,6817
"Hardin County, Kentucky",80586,80899,81349,81839,82777,82902
"Harlan County, Kentucky",21677,21251,20935,20592,20285,20650
"Harrison County, Kentucky",14324,14296,14391,14410,14555,14436
"Hart County, Kentucky",14017,13950,14014,14058,14190,14427
"Henderson County, Kentucky",35551,35491,35513,35342,35133,34771
"Henry County, Kentucky",11859,11970,12078,12167,12241,11964
"Hickman County, Kentucky",3767,3707,3672,3645,3577,3629
"Hopkins County, Kentucky",35656,35314,35109,34911,34751,34977
"Jackson County, Kentucky",10322,10319,10318,10359,10371,10021
"Jefferson County, Kentucky",587395,591936,594943,596428,598354,606872
"Jessamine County, Kentucky",38291,38850,39534,40099,40594,40317
"Johnson County, Kentucky",18004,17842,17758,17543,17484,17724
"Kenton County, Kentucky",123673,124356,125050,125887,126882,128157
"Knott County, Kentucky",12564,12435,12335,12194,12029,11607
"Knox County, Kentucky",24256,23949,23991,24036,23984,23163
"Larue County, Kentucky",11006,10925,10987,10993,11082,11513
"Laurel County, Kentucky",45702,45858,46194,46400,46626,47645
"Lawrence County, Kentucky",12157,12157,12049,11938,11841,12378
"Lee County, Kentucky",5477,5340,5345,5475,5656,5825
"Leslie County, Kentucky",8480,8340,8189,8075,7965,8386
"Letcher County, Kentucky",18285,18048,17762,17476,17192,16989
"Lewis County, Kentucky",10620,10548,10505,10422,10360,10078
"Lincoln County, Kentucky",18626,18640,18655,18686,18703,18505
"Livingston County, Kentucky",7445,7357,7273,7309,7181,7133
"Logan County, Kentucky",20336,20485,20443,20543,20674,20799
"Lyon County, Kentucky",7127,7094,6982,7120,7100,7477
"McCracken County, Kentucky",50982,50898,50830,50817,50973,52322
"McCreary County, Kentucky",13851,13717,13784,13510,13558,13126
"McLean County, Kentucky",7247,7125,7044,7080,7020,7020
"Madison County, Kentucky",68901,69710,70867,71847,73026,72963
"Magoffin County, Kentucky",9887,9813,9789,9635,9495,9112
"Marion County, Kentucky",14772,14592,14534,14559,14610,14898
"Marshall County, Kentucky",24823,24768,24783,24788,24874,25139
"Martin County, Kentucky",9882,9677,9510,9325,9171,9140
"Mason County, Kentucky",13240,13146,13266,13236,13252,13177
"Meade County, Kentucky",21625,21605,21691,21724,22009,23047
"Menifee County, Kentucky",4984,5045,5043,5095,5100,4725
"Mercer County, Kentucky",16611,16606,16739,16816,16911,17493
"Metcalfe County, Kentucky",7697,7626,7677,7730,7692,7844
"Monroe County, Kentucky",8272,8239,8280,8230,8222,8668
"Montgomery County, Kentucky",20772,20866,21050,21209,21449,21424
"Morgan County, Kentucky",10830,10800,10805,10812,10827,11163
"Muhlenberg County, Kentucky",24623,24601,24712,24645,24506,24561
"Nelson County, Kentucky",33675,34057,34410,34757,35045,35384
"Nicholas County, Kentucky",5468,5415,5432,5454,5542,5756
"Ohio County, Kentucky",18352,18381,18170,18110,18207,18174
"Oldham County, Kentucky",47291,47965,48606,49096,49585,50371
"Owen County, Kentucky",8093,8138,8119,8363,8433,8671
"Owsley County, Kentucky",3578,3555,3557,3544,3571,3270
"Pendleton County, Kentucky",11229,11238,11166,11173,11193,11156
"Perry County, Kentucky",21710,21237,20892,20682,20269,21734
"Pike County, Kentucky",49510,48643,47922,47183,46506,46611
"Powell County, Kentucky",9369,9369,9391,9338,9240,9875
"Pulaski County, Kentucky",49434,49650,49854,50012,50368,50091
"Robertson County, Kentucky",1800,1722,1746,1616,1613,1664
"Rockcastle County, Kentucky",13152,13066,13123,13110,13099,12642
"Rowan County, Kentucky",19700,19728,19793,19877,19695,19822
"Russell County, Kentucky",13703,13733,13735,13757,13795,13744
"Scott County, Kentucky",38102,38835,39847,40798,41902,42107
"Shelby County, Kentucky",34122,34911,35666,36278,37100,36734
"Simpson County, Kentucky",13479,13511,13619,13736,13868,14656
"Spencer County, Kentucky",13538,13891,14100,14385,14607,14820
"Taylor County, Kentucky",19708,19731,19693,19798,19828,19898
"Todd County, Kentucky",9107,9033,9036,9027,9049,8931
"Trigg County, Kentucky",11083,11178,11193,11263,11350,10936
"Trimble County, Kentucky",6684,6708,6691,6688,6678,6693
"Union County, Kentucky",12029,11888,11877,11834,11911,11272
"Warren County, Kentucky",93785,95840,97677,99429,101048,102573
"Washington County, Kentucky",9242,9199,9194,9221,9232,9173
"Wayne County, Kentucky",16135,16074,16294,16231,16171,15656
"Webster County, Kentucky",10302,10138,10099,10040,9996,9947
"Whitley County, Kentucky",27153,27302,27213,27070,27186,27291
"Wolfe County, Kentucky",5511,5544,5543,5539,5522,5144
"Woodford County, Kentucky",19727,19934,20216,20461,20619,20814
"Acadia Parish, Louisiana",45645,45885,46022,46105,46251,43000
"Allen Parish, Louisiana",20153,20021,19875,19882,19900,17949
"Ascension Parish, Louisiana",84570,86515,88234,89882,91510,91664
"Assumption Parish, Louisiana",17712,17710,17661,17527,17422,16697
"Avoyelles Parish, Louisiana",31375,31264,31178,31062,30941,30495
"Beauregard Parish, Louisiana",27277,27494,27673,27860,28147,27316
"Bienville Parish, Louisiana",10737,10717,10551,10492,10358,10135
"Bossier Parish, Louisiana",93160,94002,94482,94978,95468,96495
"Caddo Parish, Louisiana",191422,190258,188558,186997,185443,182577
"Calcasieu Parish, Louisiana",148081,149246,150266,151303,152160,159147
"Caldwell Parish, Louisiana",7682,7683,7678,7662,7662,7464
"Cameron Parish, Louisiana",5172,5221,5366,5361,5453,4299
"Catahoula Parish, Louisiana",7909,7827,7712,7639,7518,7140
"Claiborne Parish, Louisiana",13353,13324,13219,13093,13051,11887
"Concordia Parish, Louisiana",15354,15343,15201,15069,14882,14540
"De Soto Parish, Louisiana",20547,20524,20600,20595,20823,20314
"East Baton Rouge Parish, Louisiana",343935,344321,342684,342498,342383,351168
"East Carroll Parish, Louisiana",5649,5968,5854,5826,5233,5896
"East Feliciana Parish, Louisiana",15944,15787,15880,15849,15829,16117
"Evangeline Parish, Louisiana",25046,25162,25036,25220,25291,24464
"Franklin Parish, Louisiana",15231,15177,15135,15082,15012,14914
"Grant Parish, Louisiana",17452,17477,17654,17719,17755,17649
"Iberia Parish, Louisiana",54188,53935,53551,53009,52413,52345
"Iberville Parish, Louisiana",26008,26073,25898,25887,25915,24387
"Jackson Parish, Louisiana",12456,12443,12412,12486,12520,11914
"Jefferson Parish, Louisiana",339509,341146,339491,338950,338835,341453
"Jefferson Davis Parish, Louisiana",23378,23378,23405,23451,23426,23985
"Lafayette Parish, Louisiana",178768,181432,183015,184470,185984,183637
"Lafourche Parish, Louisiana",74588,74981,75180,75187,75207,74882
"LaSalle Parish, Louisiana",11520,11473,11476,11426,11410,11331
"Lincoln Parish, Louisiana",37906,37922,37825,37737,37692,38682
"Livingston Parish, Louisiana",99997,101031,102035,102990,104506,104831
"Madison Parish, Louisiana",8907,8795,8715,8599,8476,7877
"Morehouse Parish, Louisiana",20174,19809,19698,19379,19109,19560
"Natchitoches Parish, Louisiana",29864,29731,29670,29497,29539,29071
"Orleans Parish, Louisiana",304215,309300,310908,312340,313190,307088
"Ouachita Parish, Louisiana",116247,116551,116545,116459,116189,120278
"Plaquemines Parish, Louisiana",17295,17198,17239,17241,17265,17424
"Pointe Coupee Parish, Louisiana",17197,17212,17221,17109,17055,16363
"Rapides Parish, Louisiana",98927,98857,98639,98330,98046,97918
"Red River Parish, Louisiana",6603,6623,6536,6460,6465,5919
"Richland Parish, Louisiana",15516,15592,15566,15540,15556,15403
"Sabine Parish, Louisiana",18294,18331,18308,18300,18306,17110
"St. Bernard Parish, Louisiana",32223,32923,33372,33856,34307,32173
"St. Charles Parish, Louisiana",39344,39478,39601,39772,39964,39535
"St. Helena Parish, Louisiana",8302,8163,8138,8100,8080,8612
"St. James Parish, Louisiana",16486,16476,16462,16418,16370,15746
"St. John the Baptist Parish, Louisiana",32798,32669,32636,32522,32334,32019
"St. Landry Parish, Louisiana",61141,60848,60783,60852,60614,60777
"St. Martin Parish, Louisiana",40057,40318,40562,40669,40689,39601
"St. Mary Parish, Louisiana",39972,39692,39152,38625,38005,37792
"St. Tammany Parish, Louisiana",185627,188278,190834,193703,196605,199684
"Tangipahoa Parish, Louisiana",95685,96994,98332,99620,100974,99842
"Tensas Parish, Louisiana",3586,3600,3544,3476,3399,3299
"Terrebonne Parish, Louisiana",83986,83941,83714,83442,83071,82137
"Union Parish, Louisiana",17381,17473,17459,17419,17379,16602
"Vermilion Parish, Louisiana",43855,44217,44380,44516,44570,42960
"Vernon Parish, Louisiana",38238,38576,38095,37194,37073,36866
"Washington Parish, Louisiana",35108,35254,35248,35254,35295,34850
"Webster Parish, Louisiana",31040,30855,30599,30365,30044,28813
"West Baton Rouge Parish, Louisiana",18896,19318,19556,19860,20062,20637
"West Carroll Parish, Louisiana",8673,8609,8563,8518,8463,7669
"West Feliciana Parish, Louisiana",12770,12819,12838,12912,12915,12832
"Winn Parish, Louisiana",11517,11488,11422,11371,11248,10991
"Androscoggin County, Maine",83727,83765,83915,84153,84570,86401
"Aroostook County, Maine",56315,55986,55631,55326,55051,54798
"Cumberland County, Maine",231584,233192,235254,237230,239616,244793
"Franklin County, Maine",24737,24632,24544,24566,24610,24178
"Hancock County, Maine",44856,44925,45059,45168,45592,45946
"Kennebec County, Maine",96854,97368,97720,98144,98608,99443
