county,2016,2017,2018,2019,2020,2021
"Greenlee County, Arizona",6610,6729,6865,6894,6880,6930
"La Paz County, Arizona",16792,17079,17288,17398,17661,14061
"Maricopa County, Arizona",3064628,3124636,3211668,3282749,3361761,3330206
"Mohave County, Arizona",165580,167395,169180,171329,174992,175343
"Navajo County, Arizona",78002,78089,79025,79820,81091,78250
"Pima County, Arizona",784048,788941,801274,810074,822114,819435
"Pinal County, Arizona",301213,308673,321617,333405,346387,325724
"Santa Cruz County, Arizona",33301,33397,33712,33770,33965,34595
"Yavapai County, Arizona",180558,183023,186874,190338,194812,196008
"Yuma County, Arizona",150066,151310,154558,156240,158585,151461
"Arkansas County, Arkansas",14277,14168,13948,13811,13695,13252
"Ashley County, Arkansas",16064,15952,15756,15614,15432,14920
"Baxter County, Arkansas",33742,33870,33993,34160,34407,34085
"Benton County, Arkansas",178726,183866,189692,195281,201641,205591
"Boone County, Arkansas",29026,28737,28775,28724,29002,28856
"Bradley County, Arkansas",8489,8392,8350,8278,8189,7983
"Calhoun County, Arkansas",4190,4187,4165,4224,4194,3899
"Carroll County, Arkansas",21558,21587,21755,21880,21918,21965
"Chicot County, Arkansas",8622,8557,8370,8251,8129,8090
"Clark County, Arkansas",18259,18182,18119,18131,18101,17423
"Clay County, Arkansas",11994,11833,11745,11655,11554,11469
"Cleburne County, Arkansas",20544,20475,20431,20299,20303,20073
"Cleveland County, Arkansas",6481,6427,6364,6320,6238,6059
"Columbia County, Arkansas",18989,18904,18827,18765,18727,18108
"Conway County, Arkansas",16198,16117,16122,16038,16128,15963
"Craighead County, Arkansas",77320,78359,79506,80589,82119,82253
"Crawford County, Arkansas",46377,46604,46986,47267,47658,45601
"Crittenden County, Arkansas",35621,35632,35566,35363,35204,35149
"Cross County, Arkansas",13066,13012,12915,12845,12626,12928
"Dallas County, Arkansas",5928,5844,5736,5715,5598,5212
"Desha County, Arkansas",9095,8982,8833,8709,8576,8555
"Drew County, Arkansas",14501,14523,14479,14351,14291,13688
"Faulkner County, Arkansas",91842,92709,93690,94887,95976,94683
"Franklin County, Arkansas",13571,13651,13608,13514,13713,13166
"Fulton County, Arkansas",9724,9637,9652,9705,9748,9513
"Garland County, Arkansas",76917,77950,78233,78586,79150,79550
"Grant County, Arkansas",13825,13884,13937,14055,14135,13860
"Greene County, Arkansas",33023,33446,33632,33916,34166,34447
"Hempstead County, Arkansas",16350,16381,16303,16230,16184,15169
"Hot Spring County, Arkansas",26307,26460,26513,26703,26490,25915
"Howard County, Arkansas",9994,9977,9938,9854,9813,9486
"Independence County, Arkansas",28146,28257,28367,28434,28577,28808
"Izard County, Arkansas",10962,11086,11098,11152,11226,11139
"Jackson County, Arkansas",13949,13903,13752,13587,13536,13500
"Jefferson County, Arkansas",55615,55122,54652,53990,53155,53208
"Johnson County, Arkansas",19689,19748,19903,19996,20037,19498
"Lafayette County, Arkansas",5665,5656,5551,5477,5449,5135
"Lawrence County, Arkansas",13153,13048,12939,12820,12885,12637
"Lee County, Arkansas",7852,7763,7625,7519,7327,7177
"Lincoln County, Arkansas",11439,11415,11321,11423,11050,10913
"Little River County, Arkansas",9755,9701,9669,9609,9600,9383
"Logan County, Arkansas",17023,16908,16932,16926,16932,16657
"Lonoke County, Arkansas",52410,52726,53332,53757,54401,54894
"Madison County, Arkansas",12051,12160,12265,12395,12604,12664
"Marion County, Arkansas",13506,13449,13389,13512,13580,13671
"Miller County, Arkansas",33105,33275,33326,33204,33190,32667
"Mississippi County, Arkansas",32262,31923,31431,31032,30540,30285
"Monroe County, Arkansas",5946,5867,5773,5573,5436,5410
"Montgomery County, Arkansas",7311,7323,7297,7304,7302,6957
"Nevada County, Arkansas",6697,6592,6526,6451,6382,6444
"Newton County, Arkansas",6398,6324,6298,6267,6222,5866
"Ouachita County, Arkansas",19094,18839,18655,18399,18298,17671
"Perry County, Arkansas",7994,7999,7969,8030,8060,7734
"Phillips County, Arkansas",14555,14369,14078,13807,13495,12444
"Pike County, Arkansas",8474,8457,8459,8417,8410,8014
"Poinsett County, Arkansas",18386,18359,18318,18203,18079,17610
"Polk County, Arkansas",15532,15484,15462,15422,15409,14977
"Pope County, Arkansas",48736,49019,49065,49161,49395,48739
"Prairie County, Arkansas",6607,6603,6563,6545,6464,6560
"Pulaski County, Arkansas",298721,300186,301187,301305,301752,304940
"Randolph County, Arkansas",13618,13483,13578,13548,13704,13995
"St. Francis County, Arkansas",20866,20738,20521,19936,19999,18593
"Saline County, Arkansas",88074,88519,90103,91409,92827,93719
"Scott County, Arkansas",8085,8040,7736,7735,7839,7587
"Searcy County, Arkansas",6355,6332,6329,6316,6343,6286
"Sebastian County, Arkansas",96097,96310,96582,96781,97066,97086
"Sevier County, Arkansas",12212,12211,12255,12190,12112,11451
"Sharp County, Arkansas",13438,13409,13420,13518,13657,13611
"Stone County, Arkansas",9994,9946,9972,10040,10100,9896
"Union County, Arkansas",30644,30433,30172,29922,29679,29769
"Van Buren County, Arkansas",13505,13408,13337,13342,13379,12795
"Washington County, Arkansas",164810,167884,171943,175263,178734,183715
"White County, Arkansas",60210,60090,60219,60310,60336,59019
"Woodruff County, Arkansas",5375,5313,5218,5128,5088,4957
"Yell County, Arkansas",16302,16244,16202,16227,16280,15532
"Alameda County, California",1261005,1284703,1299187,1312727,1319993,1329045
"Alpine County, California",910,945,907,838,907,1055
"Amador County, California",31218,31575,32007,32582,33061,33981
"Butte County, California",178405,179753,181417,180378,178479,173574
"Calaveras County, California",36745,37112,37467,37703,38210,37627
"Colusa County, California",15425,15515,15581,15612,15628,15844
"Contra Costa County, California",847260,862175,871947,881048,887597,898135
"Del Norte County, California",21773,21615,21470,21575,21689,21665
"El Dorado County, California",144594,146852,148645,150641,152434,152500
"Fresno County, California",684914,692401,698151,703677,708813,716839
"Glenn County, California",20404,20427,20427,20491,20569,20906
"Humboldt County, California",108783,109132,109509,109803,110156,110770
"Imperial County, California",127466,128223,128540,128848,128808,128186
"Inyo County, California",14554,14487,14450,14368,14208,14808
"Kern County, California",614580,621092,625303,629552,634299,642656
"Kings County, California",108930,109020,109140,109652,110167,110539
"Lake County, California",51048,50967,50858,50795,50748,53260
"Lassen County, California",26683,26445,26259,26216,25663,27533
"Los Angeles County, California",7760370,7832142,7851531,7866810,7862123,7850552
"Madera County, California",110704,111693,112199,112580,113144,113116
"Marin County, California",206151,207701,207387,207310,207467,209933
"Mariposa County, California",14727,14756,14675,14580,14475,14329
"Mendocino County, California",68366,68459,68531,68522,68518,71947
"Merced County, California",185196,187526,189013,190923,192932,196572
"Modoc County, California",7221,7259,7205,7155,7110,7014
"Mono County, California",11268,11320,11485,11639,11412,10644
"Monterey County, California",316312,318859,319087,319541,319627,323519
"Napa County, California",109971,110659,110636,110422,110017,110391
"Nevada County, California",81091,81466,81903,82145,82417,84513
"Orange County, California",2411039,2439049,2452994,2463536,2472630,2483232
"Placer County, California",285430,289706,294358,299181,304683,310884
"Plumas County, California",15646,15658,15636,15543,15672,16210
"Riverside County, California",1710345,1741281,1769478,1797290,1824041,1802796
"Sacramento County, California",1118403,1133511,1147262,1161377,1174096,1199220
"San Benito County, California",42343,43042,43813,44698,45703,46877
"San Bernardino County, California",1530272,1547497,1562561,1577463,1591687,1597087
"San Diego County, California",2525692,2555203,2576489,2593335,2605720,2582479
"San Francisco County, California",735654,748311,753147,757415,757421,747739
"San Joaquin County, California",515339,523789,530706,539902,547945,561891
"San Luis Obispo County, California",227868,229353,230963,231989,232568,232556
"San Mateo County, California",592308,601216,604687,607919,608854,606703
"Santa Barbara County, California",340525,343710,344621,345645,345856,347143
"Santa Clara County, California",1449838,1476210,1489516,1499088,1502391,1509959
"Santa Cruz County, California",216409,218916,220004,220841,220884,220153
"Shasta County, California",140406,140152,140412,140533,140599,142312
"Sierra County, California",2506,2459,2489,2558,2454,2604
"Siskiyou County, California",34827,34715,34743,34642,34716,35170
"Solano County, California",330756,336083,339717,342990,345913,350936
"Sonoma County, California",395101,398997,400499,400582,399200,395702
"Stanislaus County, California",385001,389349,392394,395571,398058,400551
"Sutter County, California",70226,70463,70756,71050,71336,73301
"Tehama County, California",47856,48120,48195,48654,48847,49606
"Trinity County, California",10903,10874,10690,10534,10380,13245
"Tulare County, California",311824,314966,316949,318740,321178,325892
"Tuolumne County, California",44881,44852,44919,45058,45161,45855
"Ventura County, California",638942,645493,648513,650476,651752,652005
"Yolo County, California",164218,166894,169058,171326,172797,171254
"Yuba County, California",53291,53979,54619,55282,56169,58106
"Adams County, Colorado",346656,353442,361671,368248,374537,379526
"Alamosa County, Colorado",12342,12369,12512,12174,12240,12358
"Arapahoe County, Colorado",466226,474197,483211,490971,497160,498876
"Archuleta County, Colorado",10163,10399,10699,10951,11210,10899
"Baca County, Colorado",2865,2831,2824,2813,2824,2749
"Bent County, Colorado",4893,4903,4915,4909,4816,4947
"Boulder County, Colorado",250651,253646,258105,260064,262894,266578
"Broomfield County, Colorado",47212,48787,50428,52145,53682,56436
"Chaffee County, Colorado",15609,15963,16185,16613,16973,16520
"Cheyenne County, Colorado",1458,1464,1347,1418,1392,1207
"Clear Creek County, Colorado",7775,7733,7907,7990,8007,8211
"Conejos County, Colorado",5972,5905,5932,5964,6027,5612
"Costilla County, Colorado",2911,2963,3016,3061,3167,2965
"Crowley County, Colorado",4805,4795,4913,5045,4912,5097
"Custer County, Colorado",3570,3811,3840,4060,4208,3988
"Delta County, Colorado",23911,24061,24170,24484,24748,25054
"Denver County, Colorado",525966,539843,553616,565889,577048,570801
"Dolores County, Colorado",1428,1375,1485,1449,1613,2016
"Douglas County, Colorado",225227,231733,239130,246806,255197,262672
"Eagle County, Colorado",40705,41641,42239,42688,43076,43765
"Elbert County, Colorado",18728,19074,19648,20145,20650,20353
"El Paso County, Colorado",498369,507297,519168,529098,539744,549316
"Fremont County, Colorado",39254,39141,39245,39826,40179,41044
"Garfield County, Colorado",42522,42985,43510,44075,44538,45794
"Gilpin County, Colorado",4584,4727,4962,5200,5119,4950
"Grand County, Colorado",11855,12238,12419,12634,12849,12873
"Gunnison County, Colorado",13038,13344,13608,13894,14189,14053
"Hinsdale County, Colorado",707,672,739,719,667,762
"Huerfano County, Colorado",5495,5462,5520,5605,5714,5704
"Jackson County, Colorado",1077,1082,1048,1076,1137,1177
"Jefferson County, Colorado",442120,447861,454501,459719,464781,466461
"Kiowa County, Colorado",1059,990,1032,1096,1051,1035
"Kit Carson County, Colorado",6382,6054,5844,5651,5425,5247
"Lake County, Colorado",5936,6144,6318,6351,6578,6006
"La Plata County, Colorado",43474,43965,44536,45007,45639,45336
"Larimer County, Colorado",258746,263746,270349,276396,282107,285743
"Las Animas County, Colorado",11695,11588,11632,11734,11704,11867
"Lincoln County, Colorado",4421,4422,4438,4462,4478,4492
"Logan County, Colorado",17552,17208,17052,17782,18277,17340
"Mesa County, Colorado",114922,115887,116992,118188,119989,121472
"Mineral County, Colorado",730,752,745,728,724,686
"Moffat County, Colorado",9667,9689,9679,9766,9756,9845
"Montezuma County, Colorado",20182,19972,20110,20340,20576,20291
"Montrose County, Colorado",31720,31766,32178,32607,33266,33312
"Morgan County, Colorado",20733,20697,20838,21091,21215,21343
