Time: 2025-11-20 19:16:39,87, Message: [50, 22, 22, 22, 50]
Time: 2025-11-20 19:16:39,87, Message: [50, 23, 23, 23, 50]
Time: 2025-11-20 19:16:39,87, Message: [50, 24, 24, 24, 50]
Time: 2025-11-20 19:16:39,88, Message: [50, 25, 25, 25, 50]
Time: 2025-11-20 19:16:39,88, Message: [50, 26, 26, 26, 50]
Time: 2025-11-20 19:16:39,88, Message: [50, 27, 27, 27, 50]
Time: 2025-11-20 19:16:39,89, Message: [50, 28, 28, 28, 50]
Time: 2025-11-20 19:16:39,89, Message: [50, 29, 29, 29, 50]
Time: 2025-11-20 19:16:39,90, Message: [50, 30, 30, 30, 50]
Time: 2025-11-20 19:16:39,90, Message: [50, 31, 31, 31, 50]
Time: 2025-11-20 19:16:39,90, Message: [50, 32, 32, 32, 50]
Time: 2025-11-20 19:16:39,91, Message: [50, 33, 33, 33, 50]
Time: 2025-11-20 19:16:39,91, Message: [50, 34, 34, 34, 50]
Time: 2025-11-20 19:16:39,91, Message: [50, 35, 35, 35, 50]
Time: 2025-11-20 19:16:39,92, Message: [50, 36, 36, 36, 50]
Time: 2025-11-20 19:16:39,92, Message: [50, 37, 37, 37, 50]
Time: 2025-11-20 19:16:39,92, Message: [50, 38, 38, 38, 50]
Time: 2025-11-20 19:16:39,92, Message: [50, 39, 39, 39, 50]
Time: 2025-11-20 19:16:41,412, Message: Valid sets for [8192, 218], Ends=55 (each sum <= 218):
Time: 2025-11-20 19:16:41,413, Message: [55, 20, 20, 20, 55]
Time: 2025-11-20 19:16:41,413, Message: [55, 21, 21, 21, 55]
Time: 2025-11-20 19:16:41,414, Message: [55, 22, 22, 22, 55]
Time: 2025-11-20 19:16:41,414, Message: [55, 23, 23, 23, 55]
Time: 2025-11-20 19:16:41,415, Message: [55, 24, 24, 24, 55]
Time: 2025-11-20 19:16:41,415, Message: [55, 25, 25, 25, 55]
Time: 2025-11-20 19:16:41,415, Message: [55, 26, 26, 26, 55]
Time: 2025-11-20 19:16:41,416, Message: [55, 27, 27, 27, 55]
Time: 2025-11-20 19:16:41,416, Message: [55, 28, 28, 28, 55]
Time: 2025-11-20 19:16:41,416, Message: [55, 29, 29, 29, 55]
Time: 2025-11-20 19:16:41,417, Message: [55, 30, 30, 30, 55]
Time: 2025-11-20 19:16:41,417, Message: [55, 31, 31, 31, 55]
Time: 2025-11-20 19:16:41,417, Message: [55, 32, 32, 32, 55]
Time: 2025-11-20 19:16:41,417, Message: [55, 33, 33, 33, 55]
Time: 2025-11-20 19:16:41,418, Message: [55, 34, 34, 34, 55]
Time: 2025-11-20 19:16:41,418, Message: [55, 35, 35, 35, 55]
Time: 2025-11-20 19:16:41,418, Message: [55, 36, 36, 36, 55]
Time: 2025-11-20 19:16:43,194, Message: Valid sets for [8192, 218], Ends=60 (each sum <= 218):
Time: 2025-11-20 19:16:43,195, Message: [60, 20, 20, 20, 60]
Time: 2025-11-20 19:16:43,195, Message: [60, 21, 21, 21, 60]
Time: 2025-11-20 19:16:43,196, Message: [60, 22, 22, 22, 60]
Time: 2025-11-20 19:16:43,196, Message: [60, 23, 23, 23, 60]
Time: 2025-11-20 19:16:43,196, Message: [60, 24, 24, 24, 60]
Time: 2025-11-20 19:16:43,198, Message: [60, 25, 25, 25, 60]
Time: 2025-11-20 19:16:43,198, Message: [60, 26, 26, 26, 60]
Time: 2025-11-20 19:16:43,198, Message: [60, 27, 27, 27, 60]
Time: 2025-11-20 19:16:43,199, Message: [60, 28, 28, 28, 60]
Time: 2025-11-20 19:16:43,199, Message: [60, 29, 29, 29, 60]
Time: 2025-11-20 19:16:43,200, Message: [60, 30, 30, 30, 60]
Time: 2025-11-20 19:16:43,200, Message: [60, 31, 31, 31, 60]
Time: 2025-11-20 19:16:43,200, Message: [60, 32, 32, 32, 60]
